statement,status
curently work bokstore start years ago leave university like job start rough right live house parents separate apartment older realize parents far perfect lot isues mental health come behavior smal family parents grandma dementia long story short parentd protective lot home  talk skils ambition self estem privacy want anf maybe far away maybe change jobs work retail bad anxietyand problem tel people ask problem learn live love job think hab eno pasions learn fight instead buly hard time make friends let kep friendships friends rn live far away job carer path sound like fun work shit hrs wek want experience life parents afraid times day ned help fel bad leave life nur purpose sense turn person normal people fun joke il weird cat lady older funy pathetic ask older people advice beter find pasion dependency help ask help fel like person help life ned chest tel person goal life love god life purpose,Depression
okay long text post depresed past year life know typical depresion recently start get like suicidal thought ideation sure start date boyfriend year ago light world help prety lot  sure thought feling come harder med cymbalta quit work switch new actualy fuck insane pristiq  trust think kil die mumbo jumbo anxiety ha rof insomnia find right med life brain cluster fuck easy end panic atack new pristiq ve try lexapro prozac weren  zombie literaly diferent input maybe try slep ha fuck past year stay day time bc  fal aslep  tired  literaly  actualy fal aslep seroquel ned don  fel weird zaleplon ned literaly doesn  work sure hydroxyzine gues doesn  work slep ha fail schol nt concentrate nt study nt work mod brain fog day oh bf type tear mis  afraid  go scare away crazines  prety sure  bipolar maybe  family doe problem like  think ned kil leaf leaf bc leaf  like string hope end relate,Depression
know beter way phrase title want pre face exactly suicidal state right overwhelming wait depresion urge ahead actualy life pas overcame pul atempt min imediate danger fel like semi private place ask help non friends family know redit acounti  depresed suicidal state years old got sexualy asault family member recent year find self scary place bc think burn bridge hurt bad go plan atempt note break boyfriend madly love guilt selfish take life bc embarased tel fel like avoid tel depresion entire friendship relationship break create bulshit reason situation speak break hapen february oh fel like beter place son get therapy help fel guilty fel like ned apologize mis romantic partner genuinely friendi help fel selfish purposely burn bridge love bc scared cause pain proxy want apologize tel truth scared il come emotionaly manipulative know ned advice bc weird feling guilt kick as past months know cry ages stuck lop post atempt guilt,Suicidal
nt want anymore think fail kep give kil kep try try fuck care want sex want fuck hole  lie let want  sit cry  home wonder let continue let continue use shit hope actualy kil spit grave cry time leave ignore complain fuck nt right nt leave  go na atack likely ruin life fuck  like fucking man child bitch treat like shit come slightly upset actions  fucking bad guy  piece shithe want kil self nt want find help mad pis nt tel go kil tel nt care die wek courage ned godbye fel like shit die  tired sick try fucking hard treat like garbage know fuck lot bad things relationship apologize change new hurt  hurt say nt  shove pistol mouth bulet nt hurt midle die  think  think truly love care   wonder il actualy actualy end pregnant maybe pregnancy want hurt hurt mei want leave impact die want hurt nt time alt acount nt  sory,Depression
vitamin   deficiency sory lack clarity  exactly sure phrase  confused mobile sek treatment have prety concern suicidal thoughts past year reach therapist university imediately refer psychiatrist guise maybe benefit mod stabilizers psychiatry apointment research mod stabilizers se treat bipolar read bipolar identified understand recomend psychiatrist asume think bipolar met psychiatrist surprise say sure bipolar want blodwork start lithium levels things say go diagnose oficial unspecified mod disorder se results thyroid prety bumed hear news esentialy tel bipolar disorder lack  fel lost like right track blod work come normal extremely low vitamin   psychiatrist cal give dosage otc vitamins read situation wrong asume reduce isues deficiencies know deficiencies explain mania maybe vitamin  explain psychosis nt experience fel like sure bipolar lead think solution think isue run deper suplements know mental ilneses links vitamin deficiencies gues confusion come experience bipolar apointment thursday blodwork wonder mention bipolar diagnosis nt tldr doctor reduce diagnosis ned vitamin   bipolar coincide,Bipolar
ned vent litle think  upseting student know answer profesor  question student want engage discusion student unable sily litle thing cal anxiety cowardice ve tel  uphil batle start highschol grade decent god  speak clas know answer don  intelectual gues  boast  know capability weren  scare time  cal recite shakines voice online set question ask simple wa wekend stuter shake sweat life line face face clas visibly shake clas ve lose point time time embarasment humiliation laugh pick fun outwardly burn badly gues  doubly upseting ve tel goal life  bring prepare proced cry complain  unable answer question perform deserve go fault wa anxious mind blank question choice try don  speak clas try best pretend  terify wit ve join quiz be bring compete want don  want people  waste oportunity waste life right end maybe  hard believe  tiring breze obstacle ned spend hour day overcome imagine hype thing acomplish tel casualy throw face couldn  beter ah mes,Depression
fel stupid horible fel today mean friendmy friends help depresion get hips talk cry advicebut angry envy want fel miserable like understand sufer lonelines distance relationships live diferent citysi live go home year care emotions move fle toxic environment parents live like yearsi build dep conections parents old friends sure learn trust peoplemake friends hard best thing life family complain think angry swetheart life share problems be fel care sickand ned have depresion anxiety suck job strugle lie sick wish herevery problem crash unable relationship unable manage job unable manage depresion cry day write bad things friends blame understand fel guy know lonley hurt ami mean live km awayugh want mad feling today angry know stupid envy want able scars mistrust therapist say ned years heal go nearly clearly have like guy life hurt know itdamn want hurt like thishe mad understand angry herugh want feling stop want stop cry anger envy,Depression
partner come home angry imediately leave work fel bad fel fault ned rant maybe suport people similar gues rant maybe ask people similar situations edit ad scotland work year severe mh  atempts multiple sh require hospitalisation year duloxetine mg severe depresion underactive thyroid lebothyroxine narcolepsy mg modafinil blod disorder cancer curently undergo tests things major symptom chronic exhaustion chronic pain  kne operate curently wait  kne op query fibromyalgia aply adp november year submit december submit suport evidence short patient sumary gp medication list inc date prescription repeat forms leters therapist leters police involvement  severe sh leters mental health team leters psych leter gp detail suport hear adp today go online chat tel pick case manager yay request si gp ned request gp months hear take gp months write suport leter write anxiety spiral go na deny claim wish fucking tel instead make wait months aford mortgage get deper deper debt urgh rant,Depression
ned dead bring comit suicide plan wek ago want wait until sister leave uni think il able long honestly think come say want dead pray die countles times think wus actualy kil sure anymore job start work year sit home break panic atack work live father son know explain anymore future plans energy go try survive get day kil deal people severe social anxiety understand therapy mute everytime terified go doctors register gp uk take fluoxetine lamotrigine schol likely misuderstandimg mis apointments mother sertraline year privately online apointments incapable go real doctors ofice od work fel nauseous give headaches go episode unexplained joint bone pains lay bed cry pain trouble slep times eat overeat bingeing cok real fod clean get fat hate stand anymore tired want finaly end horible feling know die know kil mater time know exactly hapen hard know time leave living unbearable know write gues god chest smth rant,Suicidal
strugle mental health severe severe anxiety paranoia probably spring decade drug alcohol abuse  knock drugs head paranoia disapear relationship incredible woman start slip drug abuse fel like gaslighte unsure separate reality fiction make inate paranoia thousand times worse real way cope paranoia soi dive smash boze boze lead drugs lead suicidal easier think fel like complete uter burden single person life fuck rubish deal isues shit fel like worth like right world constant train wreck simply function thoughts reach desperately help yesterday today met litle suport understanding family friends crux gaslighting kil ned know drop thoughts things ad simply trust tel family reach selfish seriously consider fucking hang selfish want live constant unende mental anguish torment know know ned fel beter know cope thoughts swirl mind remotely start go simpler kil absolutely deal shit awful fucking human world beter ralying get harder harder olde yesterday rd birthday want kil yesterday morning today,Suicidal
year old sophomore sufer health anxiety elementary schol inherently worse try marijuana sumer try drugs bad trip way curent fears come go heart atack heart arhythmia cancer brain als motor neuron disease curent goals gain muscle overal athletic want rid fat gain muscle consequently sit scren prety life gain litle muscle extremely weak past year start go runs block lift smal weights get beter jog longer periods time get bench pres heavier weights lift weights  wek cardio hope overtraine rest heart rate dramaticaly decrease go bpm bpm rest scary shit want lower anymore scared stop aslep cause slow die irational probably imposible wory diseases death start help athiest severe dpdr god story boy live sedentary lifestyle grade overexercise kil proces wtf want life story fs scared hospital nearest bad reputation house drug adicts overal fil sketchy patients exactly fel safe hang late schol tomorow take mg lorazepam hour ago hope live tomorow,Anxiety
schol take gcse topics cover suicide asist death time think suicide bad hear condition believe lok diferent religious beliefs course religions suicide bad teacher show clip woman suicide advocate  like ad suicidal depresed schol think god points course time opinions know clas say wrong time want stupid schol councilor kep opinions argument suicide clas stupid hear suicidal woman understand people die sad extremely sad close friend family die inevitable non suicidal people suicide  die terms extremely depresed suicidal fel emotionaly blackmail stay alive sound naive rarely hear people tel non suicidal people stay alive like dad randomly die heart atack day hear mom angry die tel ilnes cause die ilnes ilnes depresion push closer death case want die terms know mom hold sort resentment die suicide end day deaths sad upset mater individual die people suicidal ones selfish stay alive sufer fel bad felings hurt selfish diference die chose suicide die naturaly,Suicidal
lop depresion take life away strugle anxiety depresion long time eat disorders past fuly heal triger time se photo broyfriend take legs apear enormous single thought arise photo love take lead eat days self injuries endles lop feling like shit fel narcisistic chidlish loks important se legs photo take love boyfriend throw home cos behave like fucking idiotic child hard lop literaly make fel hapy consider normal inteligence special skils point fel beter fel miserable useles bring dark stuf lovely boyfriend like know lop therapist give tips midle mind race destructive shit believe act acord thoughts eat disorder years imagine point life deal instrusive thoughts thinke big isue like go notice weight importnat far things importnat loks able fel like die skiny post destructure litle anxious right tldr behave like baby think body image isues center world ruin relationship depresive mod days agresive total bitch want live like want enjoy love ones,Depression
year old wish wa bear traditional family like american family movie close knit love family necesarily rich money comfortable life travel family vacation christmas eve diner etc wa bear world country posibility rich people educated refine world country high human development index family disunite afection  barely money survive bigest dream life day family like mention united love rich hapy want daughter wife vacation travel fascinating place safari south africa lion elephant girafe close climb andes mountain range embark transatlantic cruise short adventure family memory purpose  study language aps give curent situation imposible dream  lok miror true image completely diferent like  like begar rag lok rich man suit envy life  study software enginering colege litle hope maybe  god job beter place maybe world country family dream come true speak like like  dream high life dream have acept world life posible life want confirm mediocre unhapy life  life ve deal severe depresion existential crisis,Depression
idk  manic  nt know  manic  go super stable months motivated productive go slep early wake early etc think slowly ramp point house schol work go gym eat work like hours day make big plans etc beautiful think point start realize manic past wek ve begin drink smoke night  sober fel like buz skin ve hungover days think  acrualy get flu thing nt exactly fel manic anymore nt fel depresed  productive like beginings episode generaly fel edge tense like instead have bunch positive energy intense stresed energy nt eat bites get nauseas smoke munchies  eat maybe like calories day include alcohol nt slep smoke day work hours go drink night slep hours go work hour shift take test drunk night get  go gym day like comunal energy nt know  get gues fel sick fuck drink wek barely eat despite fel sick fel like go social nt fel positive motivated like begining idk  go,Bipolar
convinced urethral stricture year type explosion blader come insane feling urgency frequency feling blader grip vice electrical type feling blader perineum se urologist think urethral stricture send cystoscopy show ok september months later urgency frequency decrease acompany pelvic pain tailbone pain start sit urinate start milk urethra time taper mgs clonazepam hit mgs start finish taper clonazepam midle february symptoms force past weks slight burn end urination peing nt hurt end sharp burn pain specific area penis urethra past weks ve feling  marble stuck urethra fel presure urethra sharp stabing pain urethra penis hurt gently milk urethra rest urine fear cystoscopy cause stricture thing supose rule blod burn ped tip penis swolen hour aparently extremely rare stricture routine cystoscopy especialy area think  convince make il urologist days time  chronic pelvic pain suport group aparently comon symptom guys symptoms stricture nt want cystoscopy  gues il way treat stricture nt believe  mes  upset frustrate,Anxiety
porly ideation suicide plans recently move new state discover trans mtf come close friends recently enter closet best time folow aford transition esentialy exile entire extended imediate family ned help desperately try reach close friends rarely speak confront give typical excuses grow apart lives busy touch god maintain long distance friendships asorted ways asuage responsibility friend somewhat understandable live parent house fuck north vacation spend weks complete isolation job dordash take alcohol drink locos night finish cans wake mes ask help friend respond silence response day lucky half hearted ironic of  know regret response unalive disturbingly secretly wish wrap pain regret ned know sicken hate think long mourn live reactions want live memories love ones physicaly live hel hold absurd privileges uper midle clas existence joy hapines stale wheat toast buter burn black cofe go lukewarm pointlesnes endles trudging know face meaninglesnes conections lader pit despair lader anymore fucking idea build friends,Suicidal
want things work fine maybe work beter job money debt self confidence thing want family ned girlfriend hahahaha yeah prety tired rejection figure improve like come eventualy blow know god shape god musical instrument god job prety god second language stem degre people atractive etc atract potential mates like suden realize interested kind sad hapen fel worse outright upfront rejection initialy like know like ouch studio apartment like barely make know meme get beter doubt hope beter late lose window oportunity family love guitar want famous guitar player nowadays know practice fel drive beter guitar like point extremely hard improve try master bebop imrov years headway think depresion lot memory suck cognitive abilities kind lag hard changes plus make mistakes kil mod ton know sound like complain gues ned complain bit talk therapy bit price range moment mention job locate remoteanyway thanks reading enjoy eat drinking lok forward maybe depresion go away,Depression
grow absent father mother  atempt suicide normal thing suicide manipulation threat mother  depresed ha worse rest world learn despise anybody play victim long period time cry time go adres physical abuse live acros ocean barely talk mis fel like  sick head destroy family kid include come prety fuck mom sible don  talk mes prety badly mourn grieve numb hapen pandemic come  curently engage hard time expres bad depresion partner talk severe think end life daily basis atempt  past regret hospital don  want urge overwhelming hate  like especialy impact mom grow fel like easy leave fel unhapy life try best fel alive fel god day don  want wake act normal  exhaust  stand partner  sister niece anxiety time talk hear voice want picture love ex give genuine chance  act pretend aware relationship ha rocky dep bond  hope conection  mediocre hoping therapy help don  enjoy life want end win  want fel tired soul thanks listen,Depression
hate have ned live instead want livei hate have consume fod energyi hate have spend energy workingi hate have work livei hate have live workampxbi hate humans slap price tag everythingi hate life experience fre triali hate way place diei hate die physicaly painful experiencei hate death emotionaly painful love onesampxbi tired input output machine slave parasitic bodyi tired go slep wish wake upi tired wake hope life bad dreami tired inspire neds resent idea nedingampxbi wish work optional experience luxuries desire themi wish labor money pain frustration stres fear wory anxiety disease depresion optionalampxbi want dead want exist frei want stone want experience life frei want bore want learn life frei want lifeles want drink water breathe air eat sunlight freampxbmaybe life big peaceful treonly cut murder remains turn material convenience themso dream fredom peaceampxbi hate greatest concepts value imaginary ilusionsfredom ilusionpeace ilusionprivacy ilusionlove ilusionsuces ilusiongod ilusionilusions ingredients hapinesanother ilusion tired,Depression
litle voice head tel life worth live know cause snap time time sorta cosmic joke alive prety join gang violence purpose drinking poision times atempt suicide past sure ned check institution tbh worth money wise funy sound fel weirdly calm page note write girlfriend years lnd friends family gues write fel literaly recent atempt car crash mountain fel rush like dopamine hit skul grateful rol car hit rock slide oposite end write write delete know psychology fuck words write anonymously change think live gues prior actions obviously dead horific atempts break single bone body whiplash cosmic joke honestly wish easy die think reason guilt love ones sufer monetary emotional pain selfish actions beter erase like exist nice think reason write grasp straws bit hope life meaning worth live harsh sound things beter get way know impas get know voice head say okay selfish ned think know anymore honestly know sure story like,Suicidal
think today day today soni write chest friends want talk downi atempt younger pils cause body react odly hang chickene untie hospital hold hapy fear come crash il kil myselfi stres time dayi live romate go monthsi fel mater bad hurt unload iti tiredi fel like year die startedi want mary carer kids etcsomethe ground think hapen far emotionaly unstablei spend holidays know il spend birthday months want okay think aford therapy barely aford liveim tired stres overthinkingthe worst dog know long foundi emotions big hurt literaly bad dreams exagerate remember dreams nearly night world end have fight losingi try know try hard fel unlovable burden burden livethere gun apartment find keys find plans mind embarasing write lok idk fel like want nedi fel anoying bothersome plus watch family diei sory people hurt sory dog permanent scared know il okay donei love everybody amp love everybody read love wories think go kil,Depression
fuck proud wariorsmaybe fel like true life movie protagonist fel invisible live lifeveryone strugle strugle darknes diferent degresthe fact say go fight amazing maybe kid tenager adult midle aged senior obviously point say go fight help people fighthat awesome thati know fel strong cry bed hold shotgun beg stop know fel like warior down th vodka write note say godbye know fel strong tel besti fel god holding gun ready eat slug fel like warior wrongbecause gun awayi unload say nowi tel todayi stop second say decide move forward second warior kep fightloking amazing believe believe strength stop brain take control fight believe second say proud myselfyou take lot tel mind stop fightingyou warioreven cry bed wish death fight fight second day thatit hard know want fight fight life fight know fight know futuredo stop fight  wariori hope help people know tough batle face respect fuck wariors fightinghel yeah bros sisters discourage,Suicidal
browse subredit know long weks maybe monthi think post nowanyway stuf shity home live narcisists life things get way worseto spare life story mom abusive pos grandma extent grandpa enablers mom spread lies persuasivenes unknown number people believe abuse abusei job search months point lok remote work location want chain area want leave paper trail earnings etc case grandma open mail usd frelancing find work hard sift shity posts ones relate skils take tol want leave live grandparents mom recently move physicaly emotionaly abusive stand hermy grandma aparently want pay month rent find job reason tel directly pas dirty work mom want pay stay tethered placebut fail submit probably hundreds resumes remote jobs hear time reject start wonder try belongings family try legal batle gifts property mother end stop awful contributions world deal like dream carer want life instead stay closet live parent like rest relatives live long time lurker time post,Suicidal
lose dad years ago years old dad get bad acident dad big sportsman cycle home work train upcoming triathlon unfortunately get drunk driver break neck skul spine think visit hospital crash painful things se se dad lay bed cry try stay strong fel powerles folowing months acident faith dad man man guy man suport sideline unfortunately situation grow worse got diagnose serieus brain injury acept lose work sports cycling runing swiming dream finish iron man toughest sport races world mom work time brothers away home lot shoulder cry time time hope brain injury start decrease thing hope family stay dad home time depresed state slep lot time drain energy family members love acident sufering ends come point buble burst pain sufer way compatible pain lose life lose dad sit right hit weird way get extremely angry mom smalest things thing deserve love apreciation right fel like lose man bigest life lose dad,Depression
fel depresed leave house ned encourgment  vent hey ve lurker like comunity short background bipolar type disorder fibromyalgia chronic fatigue syndrome depresion anxiety adhd carpal tunel syndrome asthma hypothyroidism insomnia hypertension believe undiagnosed ptsd disabled nt able work years health get worse ve sick   stuck bed barley able walk everyday  constant pain lok sympathy ned vent gues hard talk internet complete strangers read redit great comfort nt drive anymore ned help depend family  lucky mom suport system nt anybody help right  go na run medication idea  go  try find ride right  medication  fel nt motivate leave live frezing cold dark glomy nt friends live social life  constant sufer constant pain cause pain know leave house choice  go pain gues  main reasons depresed hard gues ned vent thanks listen  usualy depresed spectrum manic hang comfort know true wariors hope make sense  litle scaterbrained tired nt slep night slep thank listen  love return favor,Bipolar
squeze feling ribs hey guys glad find sub helpful wonder anybody experience similar symptom lot time time body fel okay okay gues days symptoms ribcage area entire section body sudenly fel tense give ad symptoms stand lightheaded breathing shalower default heart races sweat ton fel like general squeze action ocur ribcage example certain breaths physicaly fel tension rib area area close heart wory actualy heart malfunctioning hope case ribcage area tense weird thing time symptom come nervous hapen evening watch tv having walk make worse leave way stop go slep body reseting normal morning sex help isue times make worse body fel adrenaline symptom start wonder anybody similar understand source rarely anxious mentaly body anxious come randomly problem symptoms give uncomfortable wory make wonder heart problem lines internal anxiety atack build tension anxiety disorder general give sort adrenaline problem know desperately want solve hinder functionality turn breathles tense mes hit cause distres,Anxiety
write cuse iv want chest iv try kil self wek overdose send hospital mental health facility get days fel lot beter think get realize start antidepresants suicide thoughts depres weird alive work live idk explain ready go life think want die depresed purpose care want love want iv buly high schol cuse special ed fel like say worng stupid laugh strugle math english special ed clas strugle alot world like work friends fel use money kind high schol cal friends start drugs stay path try god hard time talk females shy go date high schol want date try date aps go partys conection parents help high schol verbal abuse buling schol fuck beter talk tel life harder lok people know hapy geting maried god time ask self like wrong iv try self work thank read sory speling erors depresed suicide hurt know hugs evey love try kil self wek ago want story,Suicidal
helo life prospects carer depresed abusive parents great recesion fail find job alow suport graduate colege coast year od jobs vacations son severely depresed go catatonic recently background student come high schol despite depres self harm tenager bad knes ned stand work hands mental health continue decline switch humanities major graduate gpa circumstances combine mental health isues lead today actualy spend pandemic try schol study computer science unable retain information end gpa take courses semester relatively easy scholi atractive person trouble geting lay vacation years apearance isue lok severe mental health isues prevent have log term relationships let romantic partner incel have social life huge impact mental health strongly sugest depresed high schol students whose main source depresion parental social take high scholat point extremely insecure self estem self confidence broke friends evict fail secure gainful employment sumer decide objective choice suicide know complete failure believe open flor input life experience prospects,Suicidal
thyroid cancer lymphoma random infection year old male days ago start fel pain lower right throat right colarbone halfway wek notice lump apointment doctor doctor send ultrasound find cm lump neck exactly send ct scan ct scan results show tumor near muscle lymph node lok suspicious se minor swolen lymph nodes refer beter hospital vanderbilt tests days ago past friday fine nedle biopsy lump get results yesterday aparently cancer detect bacteria polys test esentialy inconclusive lok infectious uncomon acord doctor doctor go prescribe augmentin alergic prescribe clindamycin want try wek help day biopsy start experience slight pain right adam aple yawn lok like bump let doctor know yesterday want antibiotic wek change notice symptoms think mouth bit dry late crazy prety woried early start lump show ct scan wek ago detect new lump fel like relieve find malignant woried maybe mis proper reading trust world hospital nerves get best sory kind place,Anxiety
wed triger intense panic atacks time smoke wed socialy inept incredibly relaxed sit play game hours smoke get slight second hand high sit car friends recently figure try trouble fal aslep want use heavier drugs bed smoke smal imediately heart beat hard fel painful minor panic atack minutes go bed morning friend knife cut dabs dab residue leave knife figure gum bed awake hour pas find heart rate incredibly high beat weakly fel tired dizy panic mind send embarasing string texts closest friends heavily debate go er drink fair bit night htp anxiety woried give serotonin syndrome heart damage go bed wake hours later phone work spend night recoup fel past weks fel like go die alcohol serotonin syndrome bad anxiety atack come year aniversary get ha rols start have panic atacks point year worst episode fel absolutely insane stand know okay day super conscious heart hopefuly fight gues go ongoing batle,Anxiety
triger warning abuse lot stuf hapen months actualy years reasons talk friends family hold inside anymore try shortwhen dumb preten met twisted depresed sick man grom young girls like time want dep bad things things kid say kep sane alive believe ofc group sick adult man like things por depresed man social circle mes head way interact peopleafter years stop met damage scared things socialy awkward slowly lose contact real god friends days talk stare despise thanks give dream ilustrate boks children think worth things like finish high scholnow ned decide future expectations escape cynical way think future help receive news man comit suicide year mind limit think get crazy actualy like ghost kep folow focus know anymore talk family fel like big disapointment want ruin thing friends talk want problems like person talk girl know time bad like mad people talk read thank ned answer want vent posibility hear ask help,Depression
apologies advance post totaly sense fel emotional bit high fel extra suicidal past couple weks history atempts think suicidal felings strong stay strong ie try today seriously consider honestly try talk logistics right dog take care therapy sesion today basicaly confirm things hopeles go change time son ambivalenceso dilema rational think maybe psychiatric hospital er presumably decide kil er like suicide table kind torture point felings litle strong necesarily time son base recent history upset stop think rationaly try impulsive know fail deal flavour shamei know ask advice internet topic like ideal ask think hospital maybe share find similar situation usualy find helplines helpful go er sure times make sense want fel like moron tel want kil stick hours like go able help improve short term psychiatrist wek like ned conect resource go point scary fel painful probably kind stupid ampxbtldr fel suicidal rational realize prevent act work ned thoughts go er,Suicidal
fuck dad abuse hel brain years wish fel fel piece shitfuck think superior fuck mary year old literal child mother make dad force mary fuck create hate wish exist kids force cal superiority slave girl end knife mom think ned obey know shity end knife know knife give hours ago scrub flor house come threaten like alwaysfuck think weak shut obey morei want end satisfied motherfuckerthis house grow believe control people hit disobey treat like shitfuck grandma granpa teach shity things abuse peoplefuck mom defend slightest try submisive know know think bother let hapen fuck think superior think abuse people think fuck disgustingfuck society make believe respect gain blod age shiti respect family gain respect think quiet obey themno motherfuckers surprise want kil shitiest way posible hate botle brain hold anymore think go live life supose ithen cal family alow control everyway posible huh piece shits meaning want fre loud let end,Suicidal
burn let start say  burn years manage work time position got promote end year study time colege straight til recent semester courses semester caretaker care storeruns bils necesities home significant go steady job get majorly overwhelming salary great degre work employer work dohowever ocasionaly toxic environment daily demands strugle focus burnout fear job safety miserable semester find have energy scholwork workday option person clases read andor write intensive make beter result find tired stres desire nutritious fods adopt por eating habits finaly proud care busines home love suportive partner begin tire workload result take mental health want fail fire disapoint loves ones know worth time truly mean breaks lately watch eat bit go market shop groceries truly day dificult ahead work overtime catch constant demands partner wana liter relationship complaints personal woes wana hero example stable ned recharge track thanks advance twisted vent beneath ambition drive anger fel fuck mentality damn near,Stress
idk situation find relevant area post father abuser abuse mother time watch childhod beat kid bit belt chair hand suspect plan mom comfort take negative way blame reason atitude like talk people try cynical everythingi go colege diferent state years se problems fel beter litle litle explore new things study think solutions diferent problems kind hapy age angry feling come rom fel like body burn mitigate punch air beat brutaly go mins kind imagine like flash pictures hapen mainly night slep sweaty breathe like dog like days thoughts clouded angry easily previous night fel calm stay home prepare upcoming exam everyday parents fight night picture punch dad day wake fel terible hapy dead idk hapen rage thing normal curently weks have fel intensely repeatedly stop watch read relate gore ghost dreams chase person head try meditation work idk guys fel problemi male curently years old live rd world country angry make wory,Depression
litle story parents got divorce year later dad got remary years woman mary constantly tel god disapointment family beter hapier eventualy end leave night hear voice repeat things shortly got divorce couple months later try kil antidepresants dozen diferent medications work midle schol end ok comfortable have friends change get highschol paper high schol god decent number friends go parties generaly include things reason depresion kep get worse junior year take life fast forward colege things start pandemic hit friends colege forget go things beter unhapy upset friends include things ask say sad try hapier mater horible fel mask try hapy people people coment hapier fix slowly push end find romates housing arangements year include ask plan time semester end come home dark place end get job start work mom hapy beter honestly fel worse think go someplace nice hang tre want hurt person treat like mater world know anymore know anymore,Depression
horible words conveying thoughts best way describe feling remember graduate colege wonderful experience milestone life proud acomplishment absolutely elated entire wek graduation ceremony fel excited begin new chapter life start new job make money have true apartment time fel prety hapyin january year ofer new job search months receive salary increase oportunity atlanta twin brother argue milestone achieve graduate colege elated oportunity new job months new city months type post soul search ask truly fel incredible milestone fel truly fel milestone hapen like refuse emotion enter hate use word dul fel like outward emotion entire milestone fel dul reality dul describe insane achievement honestly hard explainside note diagnose depresion today work bos notice make mistakes usual ask go ok world atlanta treat ok want check like mistakes let know ned question think status mental state past days describe honestly fel way past year old job talk deply felings want share depresion embody,Depression
tend depresive episodes fairly regular basis optimal mental health mild severe dips like wek cycle away days have longer normal ones lately stick sink black hole weks sumers tend worse start fel alienated extremely lonely colege clases stick parents brother strugle make friends people talk regular basis online live oposite end continent irl friend kep ghost motivated able experience things result lot ali love family zero filter understand depresion mild anxiety jokes especialy ones target things strugle like family members love poke prod snap rare cases start cry lot times coments hit right anxiety moment change perfect perfect people fun drive actively avoid things love mental heath topics chore try navigate sumers worse lately reason ugly feling chest horible ned people hate justify fel way easily worst mental health wise like year start strugle litle let bad thoughts linger sory long post lot go head life ned parse gues litle rough lately,Depression
wekend celebrate tonight get home tire long hours work ready toslep people downstairs money celebrate festival outside rom loud boming sounds slep give migraine lies lies lie fucking complex lease sign tel til months festival damn right mean times worse thisas sit toilet feling defeat get depresed begin cry hate people way inconvenience equaly hate want butcher use cow gun directly forehead matersi hate old tired afraid die think life life meaning have live day day day routinely chores repeatedly want day end whati family age old infertile son nowi go normal normali bring ilegaly fuck life problems high schol ilegal tel reason problemsbecause deport citizen fuck life change bit fact late hopes dreamsi drink bleach let euthanized nurse kil anesthesia breathe let diei die know point existencei love love meshe reason know existencei know knowim stuck mudi wait storm pas wait storm sink boat itfuck failurei wish nightmares wake dead,Suicidal
title say young adult definitely kid anymore childhod sense internalise parents helicoptere behaviour avoid type slightly risky situations best clas nerdy kid best group colege friends neighborhod actualy friends go play slepover parties kid suck big time pers loud rude cruel aparently cold arogant act like know adult wish return diferently hate have experiences memories apart sit pc days long mom work dad leave tel wrong aparentlyi focused imaginary suces obsesively try best clas gain actual knowledge important distinction adult expect job parents sit couch day remember smal bad thing hapen course life lose enthusiasm work hard sucesful moment actualy expect like wish end know cowardly life atempt basicaly barely scratch arms mom blame complain have arythmia acidentaly learn recently let like wake bed think solutions know make bc want work grow horibly abuse neglect idk maybe try find reason blame parents failure confesion desperately want child time actualy act like,Depression
handle anymore live normal family normal isues like relationship ruin awkward lok severe untreated social anxiety times worse understand bad new weird symptoms ruin life time like argument ruin talk like normaly dad siblings stick house forever stick house pandemic avoid go social anxiety destroy mental health relationship friends family dad socialy awkward rarely take siblings young got buly midle schol main sa morning wake fel sick want bed  eat anymore want life live weird mental isues problem fel worse recently argument sibling closest think talk like normaly anymore want end normal life try search internet people isues find lonely friends talk god make friends ignore try befriend anxious scare judge word fel like hope life bring world sufer mean parents believe mental ilnes talk mom tel ignore rom give headache write bc talk mean solution death fix ironicaly strong fear death horible anxiety think stick want kil want live want,Suicidal
larger amounts stres hapen compare fel like cave leave job years ago care dad schol hel watch worse able manage stay grades responsibilities pas months ago right cary handle funeral etc kep sit thoughts wek later find cheat kids mom grades slip semester get get new job continue repeatedly deal shady behavior promise change mom chose period time behave like years disapear met guy come cancels try come parents divorce young close dadthese past weks fel let strugle clases stop work check grades let ex ex continue despite ask let heal atentive love stop drink fel anymore think fair hope go know fel sad give chances healthy trust procrastinate responsibilities god future anymore get day fel panic bad mes start fix mentaly check aside job sure want doctor fear send journey diferent medications try smal tasks like cal doctor strenuous want talk know know person deal problems help ned chest stick,Depression
stresed lately get hardly slep depres life decade parents excited coleges want aply years ago depresion hit senior year high schol barely high schol parents move states job promotions year want state colege gues think  beter chose colege beter colege want disapoint actualy great time colege fal semester spring semester come get hela suicidal ptsd take force start have nightmares got hospitalize drop colege city colege want turn ned credits transfer take clases comunity colege motivated depresion folow drop clases semester semester try year finaly decide break colege altogether break decide like schol schol year kick as clases surely colege dream go think got reject il go comuter schol prestigious work fucking hard grade schol depresion ruin fucking thing know degre worth pains want kil disapointment failure kil instead believe people say things beter future way mis oportunity sucesfuly kil screw bad failure direction depresion ruin chances go colege graduate pers,Depression
